	Genesis	Exodus	Leviticus	Numbers	Deuteronomy	Joshua	Judges	I_Samuel	II_Samuel	I_Kings	II_Kings	Isaiah	Jeremiah	Ezekiel	Hosea	Joel	Amos	Obadiah	Jonah	Micah	Nahum	Habakkuk	Zephaniah	Haggai	Zechariah	Malachi	Psalms	Job	Proverbs	Ruth	Canticles	Ecclesiastes	Lamentations	Esther	Daniel	Ezra	Nehemiah	I_Chronicles	II_Chronicles
עשׂרת	0.267	0.414	0.19	0	0.568	0	2.43	0.729	0	0.393	0.679	0.147	0.252	1.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.78	0	0	0.433	0.24	1.09
עת	1.34	0.414	0.571	0.272	3.41	1.92	3.04	0.973	0.817	1.38	2.49	1.61	4.54	2.14	3.42	2.3	2.7	0	0	5.39	0	0	11.9	11.7	1.65	0	2.61	2.94	1.49	2.79	1.58	30.8	0	3.78	6.18	1.71	3.03	2.16	2.91
פה	2.81	3.17	1.52	6.66	4.35	7.41	4.56	2.92	2.18	2.56	2.26	4.11	3.53	2.02	3.42	2.3	2.7	8.7	0	8.98	3.76	0	2.99	0	4.95	9.87	7.95	10.6	16.7	0	1.58	5.38	7.35	0.755	0.772	2.27	0.433	0.72	1.82
פור	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.04	0	0	0	0	0
פחד	0.267	0.138	0	0	0.568	0	0	0.243	0	0	0	0.734	0.504	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07	3.24	1.2	0	1.58	0	1.47	2.27	0	0	0	0.24	0.728
פחה	0	0	0	0	0	0	0	0	0	0.393	0.226	0.147	0.378	0.357	0	0	0	0	0	0	0	0	0	15.6	0	3.29	0	0	0	0	0	0	0	2.27	1.54	3.98	3.46	0	0.182
פלגשׁ	0.534	0	0	0	0	0	3.65	0	2.45	0.197	0	0	0	0.119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.15	0	0	0.755	0	0	0	1.2	0.364
פנה	18.8	17.9	20.4	16.2	25	25	14.3	24.1	19.9	20.1	16.8	13.4	16.5	18.7	10.3	18.4	9.46	0	18.2	8.98	18.8	10.5	14.9	7.81	14.9	32.9	15.9	21.2	13.7	5.59	3.15	16.2	16.2	27.9	12.7	5.69	14.7	15.1	22.2
פקיד	0.134	0	0	0	0	0	0.304	0	0	0	0.226	0	0.378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755	0	0	1.73	0	0.364
פרזות	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119	0	0	0	0	0	0	0	0	0	0	0.826	0	0	0	0	0	0	0	0	0.755	0	0	0	0	0
פרזי	0	0	0	0	0.189	0	0	0.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755	0	0	0	0	0
פרשׁה	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0
פרתמימ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51	0.386	0	0	0	0
פתגמ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.769	0	0.755	0.772	2.27	0	0	0
